[ 20:38:05 DEBUG ] - Delete GameObject 0x563f2584d710
[ 20:38:05 DEBUG ] - Delete GameObject 0x563f2582cca0
[ 20:38:05 DEBUG ] - Delete GameObject 0x563f258610e0
[ 20:38:05 DEBUG ] - Delete GameObject 0x563f2585a300
[ 20:38:05 DEBUG ] - Delete GameObject 0x563f258557d0
[ 20:38:05 DEBUG ] - Delete GameObject 0x563f25852f30
[ 20:38:05 DEBUG ] - Delete GameObject 0x563f2582f9d0
[ 20:38:06 DEBUG ] - Delete GameObject 0x563f2582fe30
[ 20:38:06 DEBUG ] - Delete GameObject 0x563f25832130
[ 20:38:06 DEBUG ] - Delete GameObject 0x563f258631b0
[ 20:38:06 DEBUG ] - Delete GameObject 0x563f25852ad0
[ 20:38:06 DEBUG ] - Delete GameObject 0x563f25863a70
[ 20:38:06 DEBUG ] - Delete GameObject 0x563f25863ed0
[ 20:38:06 DEBUG ] - Delete GameObject 0x563f25864790
[ 20:38:06 DEBUG ] - Delete GameObject 0x563f25864bf0
[ 20:38:07 DEBUG ] - Delete GameObject 0x563f25855c30
[ 20:38:07 DEBUG ] - Delete GameObject 0x563f25864330
[ 20:38:07 DEBUG ] - Delete GameObject 0x563f2584ece0
[ 20:38:07 DEBUG ] - Delete GameObject 0x563f2584e900
[ 20:38:07 DEBUG ] - Delete GameObject 0x563f258602e0
[ 20:38:07 DEBUG ] - Delete GameObject 0x563f2582cca0
[ 20:38:07 DEBUG ] - Delete GameObject 0x563f2583a650
[ 20:38:07 DEBUG ] - Delete GameObject 0x563f2583f810
[ 20:38:07 DEBUG ] - Delete GameObject 0x563f25856090
[ 20:38:07 DEBUG ] - Delete GameObject 0x563f25842fc0
[ 20:38:07 DEBUG ] - Delete GameObject 0x563f2584db70
[ 20:38:08 DEBUG ] - Delete GameObject 0x563f2582f9d0
[ 20:38:08 DEBUG ] - Delete GameObject 0x563f25852f30
[ 20:38:08 DEBUG ] - Delete GameObject 0x563f25832130
[ 20:38:08 DEBUG ] - Delete GameObject 0x563f258631b0
[ 20:38:08 DEBUG ] - Delete GameObject 0x563f25852ad0
[ 20:38:08 DEBUG ] - Delete GameObject 0x563f2582fe30
[ 20:38:08 DEBUG ] - Delete GameObject 0x563f2584d2b0
